【加纳】-DM
BS-GREEN,vjms://23.237.32.182:8500:5021/live/cid=412
GAORA SPORTS,vjms://23.237.32.182:8500:5021/live/cid=413
EX-Sports-TV,vjms://23.237.32.182:8500:5021/live/cid=414
J-Sports-1,vjms://23.237.32.182:8500:5021/live/cid=415
J-Sports-2,vjms://23.237.32.182:8500:5021/live/cid=416
日テレPLUS - NTV-PLUS,vjms://23.237.32.182:8500:5021/live/cid=492
ファミリ?`剧场 - Fami Gekijo HD,vjms://23.237.32.182:8500:5021/live/cid=493
KIDS,vjms://23.237.32.182:8500:5021/live/cid=494
Music-JAPAN,vjms://23.237.32.182:8500:5021/live/cid=495
Discovery,vjms://23.237.32.182:8500:5021/live/cid=496
Movie Plus,vjms://23.237.32.182:8500:5021/live/cid=497




【天脉】-DM
中天综合,P2p://170.178.164.243:6210/5b448ab6000b1df80003269dea2f6276.ts
中天娱乐,P2p://170.178.164.243:6210/5b448ab5000067d700031ff79ba7a020.ts
中天亚洲,P2p://170.178.164.243:6210/5b448ab30005f73a0003199343a3a55c.ts
中天新闻,P2p://170.178.164.243:6210/5b448ab10008ebac00031285e3ce5884.ts
民视新闻,P2p://170.178.164.243:6210/5b448aaf0007ce1d00030a6cbaabb840.ts
民视,P2p://170.178.164.243:6210/5b448aad0008d5b1000302df609a74bb.ts
超视,P2p://170.178.164.243:6210/5b448aab000c532b0002fbf4eb69ddbb.ts
台视,P2p://170.178.164.243:6210/5b448aa9000d9ca10002f478188a9c00.ts
公视,P2p://170.178.164.243:6210/5b448aa7000c61140002ec5760977f68.ts
华视,P2p://170.178.164.243:6210/5b448aa5000eb92c0002e5218bacf6c4.ts
中视,P2p://170.178.164.243:6210/5b448aa40003a2a20002de6276529b37.ts
东森综合,P2p://170.178.164.243:6210/5ac2dd06000827e46990c600f51fff67.ts
乐视中超,P2p://170.178.164.243:6210/5a586ab500063b7d00176405378216fe.ts
国家地理悠人,P2p://170.178.164.243:6210/5b448b1500005bf3000496f4896802b5.ts
国家地理音乐,P2p://170.178.164.243:6210/5b448b130003787b00048ff04292d865.ts
国家地理野生,P2p://170.178.164.243:6210/5b448b1100098e33000489ae17c04fd4.ts
国家地理,P2p://170.178.164.243:6210/5b448b0f0009ee81000481f76d314a03.ts
